M,padding_bytes,threads,N,mean_sec,std_sec,spill_bytes,aligned
8,0,16,10000000,0.00371698,0.00028337,32,no
9,0,16,10000000,0.00659951,5.15339e-05,36,no
12,0,16,10000000,0.00475781,0.000348464,48,no
16,0,16,10000000,0.00772392,0.000381194,0,yes
17,0,16,10000000,0.00746153,0.000630434,4,no
20,0,16,10000000,0.00484002,0.000480693,16,no
24,0,16,10000000,0.00307135,0.000105303,32,no
32,0,16,10000000,0.00152033,0.000158127,0,yes
33,0,16,10000000,0.00507654,0.000120923,4,no
36,0,16,10000000,0.00448806,0.00016765,16,no
48,0,16,10000000,0.00200772,0.000104012,0,yes
64,0,16,10000000,0.00129566,0.000102407,0,yes
65,0,16,10000000,0.00545471,0.000190699,4,no
72,0,16,10000000,0.00303127,0.000313435,32,no
96,0,16,10000000,0.00154231,0.000342171,0,yes
128,0,16,10000000,0.00324515,0.000102867,0,yes
129,0,16,10000000,0.00315089,5.19789e-05,4,no
256,0,16,10000000,0.00238401,4.70508e-05,0,yes
