M,padding_bytes,threads,N,mean_sec,std_sec,spill_bytes,aligned
8,0,16,100000000,0.096865,0.00156964,32,no
9,0,16,100000000,0.0676921,0.00133131,36,no
12,0,16,100000000,0.0469006,0.00237376,48,no
16,0,16,100000000,0.0627167,0.00231508,0,yes
17,0,16,100000000,0.068445,0.0027914,4,no
18,0,16,100000000,0.0576092,0.0030432,8,no
20,0,16,100000000,0.0488147,0.00151761,16,no
24,0,16,100000000,0.0680247,0.00167072,32,no
32,0,16,100000000,0.0506101,0.000944756,0,yes
33,0,16,100000000,0.0632222,0.00127446,4,no
36,0,16,100000000,0.0405337,0.000320747,16,no
48,0,16,100000000,0.0524989,0.000723576,0,yes
64,0,16,100000000,0.0450262,0.000823932,0,yes
65,0,16,100000000,0.0444182,0.000692484,4,no
72,0,16,100000000,0.0388868,0.000953232,32,no
