M,padding_bytes,threads,N,mean_sec,std_sec
8,0,4,100000000,0.199065,0.0204818
8,4,4,100000000,0.176435,0.0187897
8,8,4,100000000,0.129179,0.00361826
8,16,4,100000000,0.126698,0.00569828
8,32,4,100000000,0.181165,0.00675386
8,64,4,100000000,0.0511125,0.0024623
8,128,4,100000000,0.0505646,0.00112273
8,256,4,100000000,0.0509143,0.00120384
8,512,4,100000000,0.0505587,0.000763495
8,0,16,100000000,0.0891501,0.00341481
8,4,16,100000000,0.0731183,0.00484579
8,8,16,100000000,0.0627279,0.0040586
8,16,16,100000000,0.0443692,0.00292213
8,32,16,100000000,0.0867493,0.00291406
8,64,16,100000000,0.0207333,0.0001569
8,128,16,100000000,0.0208476,0.000370825
8,256,16,100000000,0.0170039,0.00311919
8,512,16,100000000,0.0199087,0.00170555
33,0,4,100000000,0.141444,0.00693663
33,4,4,100000000,0.0996899,0.00311645
33,8,4,100000000,0.0981752,0.00699927
33,16,4,100000000,0.0930532,0.0228098
33,32,4,100000000,0.0957208,0.0027306
33,64,4,100000000,0.0474514,0.00110796
33,128,4,100000000,0.0498933,0.00224201
33,256,4,100000000,0.0477565,0.00151243
33,512,4,100000000,0.0481693,0.00109357
33,0,16,100000000,0.0609261,0.00570329
33,4,16,100000000,0.0542322,0.00158554
33,8,16,100000000,0.0466394,0.00124375
33,16,16,100000000,0.0403231,0.00359748
33,32,16,100000000,0.0287483,0.00147928
33,64,16,100000000,0.012805,0.000409488
33,128,16,100000000,0.0131776,0.00106156
33,256,16,100000000,0.0169278,0.00318442
33,512,16,100000000,0.0181475,0.00291618
128,0,4,100000000,0.0964736,0.00437947
128,4,4,100000000,0.109181,0.0036908
128,8,4,100000000,0.0718423,0.000702753
128,16,4,100000000,0.0994314,0.00144514
128,32,4,100000000,0.0755681,0.00257694
128,64,4,100000000,0.0468325,0.00212386
128,128,4,100000000,0.0496243,0.00226174
128,256,4,100000000,0.0467252,0.00199273
128,512,4,100000000,0.047959,0.00228209
128,0,16,100000000,0.035201,0.00140988
128,4,16,100000000,0.0374152,0.0027585
128,8,16,100000000,0.0354065,0.00183658
128,16,16,100000000,0.0276839,0.00139564
128,32,16,100000000,0.0231722,0.00157814
128,64,16,100000000,0.0178626,0.00284018
128,128,16,100000000,0.0149425,0.00327103
128,256,16,100000000,0.0194217,0.00197256
128,512,16,100000000,0.0182083,0.00263607
