M,padding_bytes,threads,N,mean_sec,std_sec,spill_bytes,aligned
8,0,16,100000000,0.132247,5.21253e-05,32,no
9,0,16,100000000,0.110654,7.7131e-05,36,no
12,0,16,100000000,0.0801441,0.000156329,48,no
16,0,16,100000000,0.0901543,0.000105108,0,yes
17,0,16,100000000,0.0927326,0.000269043,4,no
18,0,16,100000000,0.0840233,0.000160595,8,no
20,0,16,100000000,0.0606707,0.000200612,16,no
24,0,16,100000000,0.0767706,0.000335958,32,no
32,0,16,100000000,0.0772828,0.000413166,0,yes
33,0,16,100000000,0.0733146,0.000202084,4,no
36,0,16,100000000,0.056917,0.000236674,16,no
48,0,16,100000000,0.0525275,0.000191751,0,yes
64,0,16,100000000,0.0510584,0.00026139,0,yes
65,0,16,100000000,0.0501294,0.000283821,4,no
72,0,16,100000000,0.0444241,0.000185368,32,no
