M,padding_bytes,threads,N,mean_sec,std_sec
8,0,4,100000000,0.266831,0.000282977
8,4,4,100000000,0.259865,0.00714649
8,8,4,100000000,0.206065,0.000125322
8,16,4,100000000,0.148313,9.84592e-05
8,32,4,100000000,0.226294,0.000151797
8,64,4,100000000,0.0565521,3.67779e-05
8,128,4,100000000,0.0541955,4.651e-05
8,256,4,100000000,0.0527256,0.000164209
8,512,4,100000000,0.0527023,0.000114068
8,0,16,100000000,0.130267,0.000105656
8,4,16,100000000,0.0991594,6.73317e-05
8,8,16,100000000,0.0834695,0.000102143
8,16,16,100000000,0.0563209,0.000140479
8,32,16,100000000,0.0171957,0.000733476
8,64,16,100000000,0.0189247,0.000678261
8,128,16,100000000,0.014627,0.000782524
8,256,16,100000000,0.0137719,0.00103858
8,512,16,100000000,0.0137558,0.00102482
33,0,4,100000000,0.157066,8.49896e-05
33,4,4,100000000,0.16686,9.89042e-05
33,8,4,100000000,0.185621,0.000125802
33,16,4,100000000,0.138522,7.64968e-05
33,32,4,100000000,0.102747,4.61806e-05
33,64,4,100000000,0.0574536,5.70079e-05
33,128,4,100000000,0.0543502,2.63253e-05
33,256,4,100000000,0.0543759,0.000114722
33,512,4,100000000,0.0536714,0.000121463
33,0,16,100000000,0.0714558,7.3994e-05
33,4,16,100000000,0.0648,0.000108121
33,8,16,100000000,0.0558703,0.000179906
33,16,16,100000000,0.0403394,4.7767e-05
33,32,16,100000000,0.0314032,5.11744e-05
33,64,16,100000000,0.0160207,0.000667137
33,128,16,100000000,0.0141535,0.00106624
33,256,16,100000000,0.0141981,0.00100156
33,512,16,100000000,0.0141929,0.00104287
128,0,4,100000000,0.122105,0.000516162
128,4,4,100000000,0.0928544,0.000553851
128,8,4,100000000,0.0922798,0.00240532
128,16,4,100000000,0.0812933,0.000110136
128,32,4,100000000,0.0553812,4.95772e-05
128,64,4,100000000,0.0549771,7.42593e-05
128,128,4,100000000,0.0542365,5.0711e-05
128,256,4,100000000,0.0536979,0.000146504
128,512,4,100000000,0.0536808,8.99828e-05
128,0,16,100000000,0.033892,7.61781e-05
128,4,16,100000000,0.034534,0.00016744
128,8,16,100000000,0.0300587,5.49823e-05
128,16,16,100000000,0.0262508,0.000126824
128,32,16,100000000,0.0203316,0.000745572
128,64,16,100000000,0.0144604,0.00096106
128,128,16,100000000,0.0142972,0.00104851
128,256,16,100000000,0.0138895,0.000806344
128,512,16,100000000,0.0138658,0.000775357
