exe,N,p,run,time_s
serial,8192,1,1,0.0594353
serial,8192,1,2,0.0591396
serial,8192,1,3,0.0593438
serial,8192,1,4,0.0591016
serial,8192,1,5,0.0592976
parallel,8192,16,1,0.0040666
parallel,8192,16,2,0.00390404
parallel,8192,16,3,0.00386623
parallel,8192,16,4,0.00390224
parallel,8192,16,5,0.00406191
serial,16384,1,1,0.240197
serial,16384,1,2,0.240159
serial,16384,1,3,0.239968
serial,16384,1,4,0.240194
serial,16384,1,5,0.240742
parallel,16384,16,1,0.0150398
parallel,16384,16,2,0.015359
parallel,16384,16,3,0.0154505
parallel,16384,16,4,0.0149071
parallel,16384,16,5,0.0149501
parallel,8192,1,1,0.0321305
parallel,8192,1,2,0.0322179
parallel,8192,1,3,0.0323757
parallel,8192,1,4,0.0331869
parallel,8192,1,5,0.0320909
parallel,8192,2,1,0.016464
parallel,8192,2,2,0.0166595
parallel,8192,2,3,0.016669
parallel,8192,2,4,0.016811
parallel,8192,2,5,0.0169533
parallel,8192,4,1,0.00853657
parallel,8192,4,2,0.00853688
parallel,8192,4,3,0.00860583
parallel,8192,4,4,0.00856718
parallel,8192,4,5,0.00860494
parallel,8192,8,1,0.00460634
parallel,8192,8,2,0.00462386
parallel,8192,8,3,0.00454441
parallel,8192,8,4,0.00468786
parallel,8192,8,5,0.00455746
parallel,8192,16,1,0.0040732
parallel,8192,16,2,0.00390427
parallel,8192,16,3,0.00393178
parallel,8192,16,4,0.00388172
parallel,8192,16,5,0.00386634
parallel,16384,1,1,0.130298
parallel,16384,1,2,0.1301
parallel,16384,1,3,0.130206
parallel,16384,1,4,0.131898
parallel,16384,1,5,0.13005
parallel,16384,2,1,0.0658827
parallel,16384,2,2,0.0700106
parallel,16384,2,3,0.0659547
parallel,16384,2,4,0.0671142
parallel,16384,2,5,0.0663235
parallel,16384,4,1,0.0342203
parallel,16384,4,2,0.0345238
parallel,16384,4,3,0.0346921
parallel,16384,4,4,0.0348623
parallel,16384,4,5,0.0349588
parallel,16384,8,1,0.0179842
parallel,16384,8,2,0.0181067
parallel,16384,8,3,0.0180498
parallel,16384,8,4,0.0180207
parallel,16384,8,5,0.0179344
parallel,16384,16,1,0.0152644
parallel,16384,16,2,0.0150407
parallel,16384,16,3,0.0158094
parallel,16384,16,4,0.015276
parallel,16384,16,5,0.015041
